,平均打率,安打差,二塁打差,三塁打差,本塁打差,塁打差,得点差,三振差,四球差,死球差,犠打差,犠飛差,盗塁差,盗塁死差,併殺打差,平均出塁率,平均長打率,平均ＯＰＳ,平均得点圏,登板差,先発差,完投差,ＱＳ差,勝利差,敗戦差,ホールド差,セーブ差,被安打差,被本塁打差,奪三振差,与四球差,与死球差,暴投差,ボーク差,失点差,自責点差,防御率,投球回,勝率,奪三振率,被打率,Ｋ／ＢＢ,ＷＨＩＰ,point
アウェー,0.26588888888888884,118.0,13.0,-2.0,10.0,157.0,62.0,-33.0,57.0,2.0,-1.0,5.0,15.0,-2.0,14.0,0.34022222222222226,0.4343333333333333,0.7744444444444443,0.2543333333333333,4.0,4.0,0.0,-1.0,-1.0,6.0,0.0,0.0,42.0,-1.0,6.0,-2.0,0.0,1.0,1.0,23.0,15.0,5.19,52.0,0.111,5.54,0.317,2.67,1.56,6
ホーム,0.24122222222222225,52.0,17.0,5.0,0.0,79.0,32.0,52.0,14.0,5.0,-6.0,0.0,1.0,0.0,7.0,0.3052222222222223,0.3695555555555556,0.6748888888888889,0.26688888888888884,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,0.0,6.0,6.0,-4.0,0.0,0.0,1.0,0.0,4.0,5.0,3.05,59.0,0.429,10.37,0.215,6.8,0.97,8
アウェー,0.2406666666666667,-52.0,-17.0,-5.0,0.0,-79.0,-32.0,-52.0,-14.0,-5.0,6.0,0.0,-1.0,0.0,-7.0,0.30266666666666664,0.3795555555555556,0.6822222222222222,0.23299999999999998,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,-6.0,-6.0,4.0,0.0,0.0,-1.0,0.0,-4.0,-5.0,2.25,60.0,0.857,10.8,0.187,7.2,0.85,0
ホーム,0.21233333333333335,-45.0,3.0,3.0,2.0,-30.0,7.0,47.0,20.0,9.0,-8.0,-1.0,41.0,15.0,2.0,0.30033333333333334,0.34944444444444445,0.6499999999999999,0.27166666666666667,0.0,-9.0,0.0,-2.0,-2.0,-2.0,1.0,0.0,-28.0,-5.0,-22.0,-11.0,-3.0,1.0,0.0,-17.0,-14.0,6.3,10.0,0.0,5.4,0.318,1.2,1.9,3
アウェー,0.2473333333333333,45.0,-3.0,-3.0,-2.0,30.0,-7.0,-47.0,-20.0,-9.0,8.0,1.0,-41.0,-15.0,-2.0,0.32122222222222224,0.3716666666666667,0.692888888888889,0.2192222222222222,0.0,9.0,0.0,2.0,2.0,2.0,-1.0,0.0,28.0,5.0,22.0,11.0,3.0,-1.0,0.0,17.0,14.0,4.61,41.0,0.4,6.15,0.258,1.75,1.41,5
ホーム,0.227,-50.0,-22.0,-4.0,-6.0,-98.0,-56.0,-68.0,-20.0,0.0,-5.0,-12.0,-5.0,-3.0,-4.0,0.29344444444444445,0.3378888888888889,0.6311111111111111,0.2542222222222222,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,23.0,-4.0,-19.0,-8.0,-2.0,1.0,0.0,0.0,3.0,6.03,34.1,0.5,7.34,0.353,2.8,1.83,6
アウェー,0.24344444444444444,50.0,22.0,4.0,6.0,98.0,56.0,68.0,20.0,0.0,5.0,12.0,5.0,3.0,4.0,0.3211111111111111,0.3847777777777778,0.7057777777777778,0.2581111111111112,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-23.0,4.0,19.0,8.0,2.0,-1.0,0.0,0.0,-3.0,4.43,40.2,0.5,10.4,0.203,2.61,1.18,1
ホーム,0.2667777777777778,-76.0,0.0,-7.0,-15.0,-135.0,-63.0,-80.0,-88.0,-2.0,0.0,-9.0,-21.0,-5.0,0.0,0.3284444444444445,0.4023333333333333,0.7306666666666666,0.29933333333333334,-1.0,-1.0,0.0,-1.0,-2.0,2.0,0.0,0.0,3.0,-6.0,-6.0,-2.0,-5.0,2.0,1.0,-3.0,-7.0,3.15,54.1,0.4,8.12,0.278,2.58,1.45,1
アウェー,0.2335555555555556,76.0,0.0,7.0,15.0,135.0,63.0,80.0,88.0,2.0,0.0,9.0,21.0,5.0,0.0,0.3207777777777778,0.378,0.6986666666666667,0.274,1.0,1.0,0.0,1.0,2.0,-2.0,0.0,0.0,-3.0,6.0,6.0,2.0,5.0,-2.0,-1.0,3.0,7.0,3.9,60.0,0.8,8.25,0.25,2.62,1.3,6
ホーム,0.25122222222222224,-106.0,-32.0,-7.0,-24.0,-224.0,-80.0,-26.0,-68.0,-1.0,6.0,-9.0,1.0,1.0,-15.0,0.30377777777777776,0.39588888888888885,0.6996666666666667,0.23933333333333331,9.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,42.0,7.0,28.0,28.0,0.0,3.0,0.0,19.0,19.0,3.49,49.0,1.0,5.14,0.239,1.0,1.43,3
アウェー,0.26355555555555554,106.0,32.0,7.0,24.0,224.0,80.0,26.0,68.0,1.0,-6.0,9.0,-1.0,-1.0,15.0,0.3302222222222222,0.43655555555555553,0.766888888888889,0.23644444444444446,-9.0,-9.0,0.0,-4.0,-5.0,0.0,0.0,0.0,-42.0,-7.0,-28.0,-28.0,0.0,-3.0,0.0,-19.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
ホーム,0.2407777777777778,33.0,7.0,8.0,-3.0,47.0,25.0,-2.0,7.0,6.0,0.0,1.0,-8.0,-2.0,1.0,0.3142222222222222,0.36388888888888893,0.6782222222222223,0.2454444444444444,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,1.0,21.0,4.0,1.0,0.0,0.0,4.0,4.0,2.25,16.0,1.0,11.81,0.211,5.25,1.0,2
アウェー,0.20888888888888887,-33.0,-7.0,-8.0,3.0,-47.0,-25.0,2.0,-7.0,-6.0,0.0,-1.0,8.0,2.0,-1.0,0.283,0.31855555555555554,0.6016666666666667,0.25477777777777777,-3.0,-3.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-12.0,-1.0,-21.0,-4.0,-1.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
ホーム,0.2788888888888889,131.0,22.0,3.0,5.0,174.0,78.0,-17.0,67.0,-1.0,0.0,-1.0,12.0,-1.0,15.0,0.3502222222222222,0.41733333333333333,0.7676666666666666,0.2846666666666666,-7.0,-7.0,1.0,-2.0,-3.0,-2.0,0.0,0.0,-23.0,-5.0,-32.0,-11.0,2.0,-1.0,0.0,-8.0,-7.0,5.3,18.2,1.0,9.16,0.222,6.33,1.02,1
アウェー,0.22999999999999998,-131.0,-22.0,-3.0,-5.0,-174.0,-78.0,17.0,-67.0,1.0,0.0,1.0,-12.0,1.0,-15.0,0.2823333333333334,0.3611111111111111,0.6437777777777778,0.2931111111111111,7.0,7.0,-1.0,2.0,3.0,2.0,0.0,0.0,23.0,5.0,32.0,11.0,-2.0,1.0,0.0,8.0,7.0,3.04,53.1,0.667,8.61,0.203,3.64,0.99,9
